0.1,41.142,78.812,0.00011466,3821
0.2,28.938,77.97,0.00012632,2698
0.3,18.462,75.863,0.000161,1724
0.4,17.326,77.695,0.00013039,1616
0.5,13.087,75.704,0.00016399,1214
0.6,11.94,75.998,0.00015853,1114
0.7,9.9524,76.635,0.00014732,933
0.8,9.4498,76.514,0.00014939,882
0.9,8.113,75.438,0.00016908,754
1,6.6513,74.913,0.00017963,619
1.1,6.1649,75.655,0.00016492,574
1.2,7.2902,75.725,0.00016359,681
1.3,71.506,79.21,0.00010952,6527
1.4,107.97,32.965,0.022478,10000
1.5,107.86,31.792,0.025728,10000
1.6,107.29,31.104,0.027849,10000
1.7,108.14,30.011,0.031584,10000
1.8,120.68,29.254,0.03446,10000
